101,Spring Fashion Week,Promotional,Instagram,1/1/24,1/14/24,25000,18-35 Female,Brand Awareness,Completed
102,New Year Sale,Sales,Google,1/1/24,1/7/24,15000,All Segments,Revenue,Completed
103,VIP Member Drive,Retention,Email,1/1/24,1/31/24,1000,Existing Customers,Engagement,Active
104,Fitness Resolution,Promotional,Facebook,1/1/24,1/21/24,8000,25-45 Active,Acquisition,Active
105,TikTok Influencer,Influencer,TikTok,1/15/24,1/30/24,35000,18-25 All,Brand Awareness,Planned
106,Valentine Special,Sales,Instagram,2/1/24,2/14/24,20000,All Segments,Revenue,Planned
107,Search Retargeting,Performance,Google,1/1/24,3/31/24,30000,Cart Abandoners,Conversion,Active
108,Store Grand Opening,Event,Direct Mail,1/20/24,1/20/24,5000,Local Residents,Traffic,Planned
109,Clearance Email,Sales,Email,1/25/24,1/31/24,500,Dormant Customers,Reactivation,Planned
110,Mobile App Launch,Product Launch,Push Notification,2/1/24,2/28/24,12000,App Users,Engagement,Planned
111,Summer Preview,Promotional,Instagram,1/8/24,1/20/24,22000,18-35 Female,Brand Awareness,Active
112,Flash Sale Friday,Sales,Google,1/5/24,1/5/24,8000,All Segments,Revenue,Completed
113,Loyalty Points Bonus,Retention,Email,1/10/24,1/24/24,800,High-Value Customers,Engagement,Active
114,Athleisure Campaign,Promotional,Facebook,1/12/24,1/26/24,10000,25-45 Active,Acquisition,Active
115,Gen Z Creators,Influencer,TikTok,1/18/24,2/1/24,40000,16-24 All,Brand Awareness,Active
116,Presidents Day Sale,Sales,Instagram,2/10/24,2/19/24,18000,All Segments,Revenue,Planned
117,Shopping Cart Recovery,Performance,Google,1/3/24,3/31/24,25000,Cart Abandoners,Conversion,Active
118,Store Anniversary,Event,Direct Mail,1/25/24,1/27/24,4500,Local Residents,Traffic,Planned
119,Win-Back Campaign,Sales,Email,1/28/24,2/5/24,600,Dormant Customers,Reactivation,Planned
120,App Exclusive Deals,Product Launch,Push Notification,2/5/24,2/29/24,10000,App Users,Engagement,Planned
121,Spring Trends,Promotional,Instagram,1/15/24,1/28/24,24000,18-35 Female,Brand Awareness,Active
122,Weekend Warriors,Sales,Google,1/6/24,1/7/24,9000,All Segments,Revenue,Completed
123,Premium Member Perks,Retention,Email,1/12/24,2/12/24,1200,Frequent Shoppers,Engagement,Active
124,Workout Wednesdays,Promotional,Facebook,1/17/24,2/14/24,7500,25-45 Active,Acquisition,Active
125,Viral Challenge,Influencer,TikTok,1/22/24,2/5/24,38000,18-25 All,Brand Awareness,Active
126,Love Your Look,Sales,Instagram,2/8/24,2/16/24,16000,All Segments,Revenue,Planned
127,Dynamic Remarketing,Performance,Google,1/5/24,3/31/24,28000,Site Visitors,Conversion,Active
128,Community Event,Event,Direct Mail,1/30/24,1/30/24,3500,Local Residents,Traffic,Planned
129,Last Chance Email,Sales,Email,1/31/24,2/2/24,400,Inactive Users,Reactivation,Planned
130,Push Power Hour,Product Launch,Push Notification,2/8/24,2/28/24,8000,App Users,Engagement,Planned
